rec_time	UTC	Dikablis Professional Wireless  (DGW18050)_Eye Data_Original_Pupil X	Dikablis Professional Wireless  (DGW18050)_Eye Data_Original_Pupil Y	Dikablis Professional Wireless  (DGW18050)_Eye Data_Original_Right Eye_Pupil X	Dikablis Professional Wireless  (DGW18050)_Eye Data_Original_Right Eye_Pupil Y	Dikablis Professional Wireless  (DGW18050)_Eye Data_Original_Right Eye_Pupil Area	Dikablis Professional Wireless  (DGW18050)_Eye Data_Original_Right Eye_Pupil Height	Dikablis Professional Wireless  (DGW18050)_Eye Data_Original_Right Eye_Pupil Width	Dikablis Professional Wireless  (DGW18050)_Eye Data_Original_Right Eye_Fixations_Fixations	Dikablis Professional Wireless  (DGW18050)_Eye Data_Original_Right Eye_Fixations_Fixations Duration	Dikablis Professional Wireless  (DGW18050)_Eye Data_Original_Right Eye_Saccades_Saccades	Dikablis Professional Wireless  (DGW18050)_Eye Data_Original_Right Eye_Saccades_Saccades Duration	Dikablis Professional Wireless  (DGW18050)_Eye Data_Original_Right Eye_Saccades_Saccades Angle
00:00:01.101	1557996975120	224.656	119.922	0	0	0	0	0	0	0	0	0	0
00:00:01.117	1557996975136	224.404	120.031	0	0	0	0	0	0	0	0	0	0
00:00:01.134	1557996975153	224.699	120.238	0	0	0	0	0	0	0	0	0	0
00:00:01.151	1557996975170	224.413	121.289	0	0	0	0	0	0	0	0	0	0
00:00:01.167	1557996975186	225.259	120.926	0	0	0	0	0	0	0	0	0	0
00:00:01.184	1557996975203	225.383	119.158	0	0	0	0	0	0	0	0	0	0
00:00:01.201	1557996975220	0	0	0	0	0	0	0	0	0	0	0	0
00:00:01.217	1557996975236	226.726	119.888	0	0	0	0	0	0	0	0	0	0
00:00:01.234	1557996975253	226.303	119.413	0	0	0	0	0	0	0	0	0	0
00:00:01.251	1557996975270	154.007	107.119	174.696	139.058	259.399	20.025	16.493	0	0	0	0	0
00:00:01.267	1557996975286	226.078	119.539	0	0	0	0	0	0	0	0	0	0
00:00:01.284	1557996975303	225.89	119.026	0	0	0	0	0	0	0	0	0	0
00:00:01.301	1557996975320	226.74	119.6	0	0	0	0	0	0	0	0	0	0
00:00:01.317	1557996975336	226.328	119.212	0	0	0	0	0	0	0	0	0	0
00:00:01.334	1557996975353	226.633	119.633	0	0	0	0	0	0	0	0	0	0
00:00:01.351	1557996975370	225.647	118.801	0	0	0	0	0	0	0	0	0	0
00:00:01.367	1557996975386	225.519	119.873	0	0	0	0	0	0	0	0	0	0
00:00:01.384	1557996975403	201.517	128.979	177.813	139.093	298.548	23.632	16.085	0	0	0	0	0
00:00:01.401	1557996975420	225.945	119.47	0	0	0	0	0	0	0	0	0	0
00:00:01.417	1557996975436	225.739	119.671	0	0	0	0	0	0	0	0	0	0
00:00:01.434	1557996975453	225.422	120.431	0	0	0	0	0	0	0	0	0	0
00:00:01.451	1557996975470	226.113	118.443	0	0	0	0	0	0	0	0	0	0
00:00:01.467	1557996975486	0	0	0	0	0	0	0	0	0	0	0	0
00:00:01.484	1557996975503	227.14	116.838	0	0	0	0	0	0	0	0	0	0
00:00:01.501	1557996975520	227.89	117.935	0	0	0	0	0	0	0	0	0	0
00:00:01.517	1557996975536	201.795	125.299	176.117	133.397	288.035	21.591	16.986	0	0	0	0	0
00:00:01.534	1557996975553	0	0	0	0	0	0	0	0	0	0	0	0
00:00:01.551	1557996975570	227.062	116.876	0	0	0	0	0	0	0	0	0	0
00:00:01.567	1557996975586	226.81	117.333	0	0	0	0	0	0	0	0	0	0
00:00:01.584	1557996975603	0	0	0	0	0	0	0	0	0	0	0	0
00:00:01.601	1557996975620	0	0	0	0	0	0	0	0	0	0	0	0
00:00:01.617	1557996975636	199.983	103.014	172.321	125.414	362.06	27.614	16.694	0	0	0	0	0
00:00:01.634	1557996975653	198.009	101.463	169.398	123.17	279.93	21.068	16.918	0	0	0	0	0
00:00:01.651	1557996975670	200.178	102.329	173.647	123.672	415.508	27.418	19.295	0	0	0	0	0
00:00:01.667	1557996975686	200.184	102.415	173.804	124.331	368.929	25.949	18.102	0	0	0	0	0
00:00:01.684	1557996975703	0	0	0	0	0	0	0	0	0	0	0	0
00:00:01.701	1557996975720	226.231	81.079	0	0	0	0	0	0	0	0	0	0
00:00:01.717	1557996975736	199.933	101.495	173.561	123.095	361.097	24.229	18.975	0	0	0	0	0
00:00:01.734	1557996975753	199.351	102.253	172.386	123.9	297.886	21.01	18.052	0	0	0	0	0
00:00:01.751	1557996975770	199.03	101.694	172.081	123.512	308.755	21.324	18.435	0	0	0	0	0
00:00:01.767	1557996975786	200.162	102.541	174.213	124.2	336.709	25.746	16.652	0	0	0	0	0
00:00:01.784	1557996975803	200.311	101.285	174.394	123.004	369.841	24.462	19.25	0	0	0	0	0
00:00:01.801	1557996975820	200.41	102.056	174.945	122.981	365.627	27.493	16.933	0	0	0	0	0
00:00:01.817	1557996975836	200.711	102.199	175.526	124.293	443.055	28.101	20.074	0	0	0	0	0
00:00:01.834	1557996975853	199.489	102.66	173.128	124.483	328.411	22.197	18.838	0	0	0	0	0
00:00:01.851	1557996975870	199.534	101.421	173.07	122.983	318.427	20.835	19.459	0	0	0	0	0
00:00:01.867	1557996975886	199.591	102.871	172.781	124.988	282.271	22.556	15.934	0	0	0	0	0
00:00:01.884	1557996975903	198.921	101.876	172.577	123.304	317.663	24.408	16.571	0	0	0	0	0
00:00:01.901	1557996975920	193.856	102.505	167.438	124.067	314.722	22.313	17.959	0	0	0	0	0
00:00:01.917	1557996975936	190.731	102.587	165.176	124.21	433.966	27.12	20.374	0	0	0	0	0
00:00:01.934	1557996975953	190.552	102.937	164.802	124.924	408.989	24.138	21.574	0	0	0	0	0
00:00:01.951	1557996975970	191.393	102.767	166.388	124.276	462.236	28.522	20.634	0	0	0	0	0
